"model" "t_stats" "p_value" "p_val_adjusted"
"member-nonmember" "Main Terms" -0.0930310971439479 0.925878856395832 0.942561358312874
"issue_post-issue_reply" "Main Terms" -8.82890213610701 0 0
"pr_post-pr_reply" "Main Terms" -11.4532412974154 0 0
"issue_post-pr_post" "Main Terms" -0.620778272495774 0.534745520945775 0.642832381562474
"issue_reply-pr_reply" "Main Terms" -3.3296298239161 0.000869615133572088 0.00185408509610653
"issue_post:member-issue_post:nonmember" "2W: Types x Author Groups" -0.71012023841109 0.477629577050746 0.586653719638417
"issue_reply:member-issue_reply:nonmember" "2W: Types x Author Groups" -2.28355875873643 0.0223974758785734 0.0401732503853778
"pr_post:member-pr_post:nonmember" "2W: Types x Author Groups" -2.57923314817678 0.00990199302923589 0.0184506803866663
"pr_reply:member-pr_reply:nonmember" "2W: Types x Author Groups" -0.489685053262135 0.624356780132419 0.698537783712509
"issue_post:member-issue_reply:member" "2W: Types x Author Groups" -7.38814588785034 0.000000000000148991929904696 0.000000000000561202935974355
"issue_post:nonmember-issue_reply:nonmember" "2W: Types x Author Groups" -9.31826152130612 0 0
"pr_post:member-pr_reply:member" "2W: Types x Author Groups" -11.0265783339829 0 0
"pr_post:nonmember-pr_reply:nonmember" "2W: Types x Author Groups" -8.89953230313484 0 0
"issue_post:member-pr_post:member" "2W: Types x Author Groups" 0.222710600383711 0.82376075064541 0.886523474504108
"issue_post:nonmember-pr_post:nonmember" "2W: Types x Author Groups" -1.67569511983855 0.0937979262254616 0.141322208846362
"issue_reply:member-pr_reply:member" "2W: Types x Author Groups" -3.34564842511724 0.000820904103643105 0.00178388776368598
"issue_reply:nonmember-pr_reply:nonmember" "2W: Types x Author Groups" -1.62980769725464 0.103142146470632 0.151098923953441
"scikit.learn:issue_post:member-scikit.learn:issue_post:nonmember" "3W: Types x Author Groups x Project" -0.666040672853409 0.505385103483911 0.614070071975075
"scikit.learn:issue_reply:member-scikit.learn:issue_reply:nonmember" "3W: Types x Author Groups x Project" -3.53113544818852 0.000413779801518022 0.000954226889215029
"scikit.learn:pr_post:member-scikit.learn:pr_post:nonmember" "3W: Types x Author Groups x Project" 0.0292035803343634 0.976702225759088 0.976702225759088
"scikit.learn:pr_reply:member-scikit.learn:pr_reply:nonmember" "3W: Types x Author Groups x Project" -0.755745363078519 0.44980188049246 0.558545192259867
"scikit.learn:issue_post:member-scikit.learn:issue_reply:member" "3W: Types x Author Groups x Project" -8.9046571811411 0 0
"scikit.learn:issue_post:nonmember-scikit.learn:issue_reply:nonmember" "3W: Types x Author Groups x Project" -12.5264991998156 0 0
